time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2022-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
2022-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
2022-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
2022-09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
2022-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
2022-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
2022-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
2022-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
2022-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
2022-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
2022-09-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
2022-09-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
2022-09-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
2022-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
2022-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
2022-09-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
2022-09-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
2022-09-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
2022-09-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
2022-09-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
2022-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
2022-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
2022-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
2022-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
2022-09-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
2022-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-10-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-10-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-10-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
